IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
12305;Matthias;Kyburz;SUI;1;6840;5;1368.0;
23855;Kasper;Harlem Fosser;NOR;2;6822;5;1364.4;
19846;Olli;Ojanaho;FIN;3;6738;5;1347.6;
7562;Gustav;Bergman;SWE;4;6731;5;1346.2;
16905;Emil;Svensk;SWE;5;6719;5;1343.8;
15472;Albin;Ridefelt;SWE;6;6710;5;1342.0;
23033;Joey;Hadorn;SUI;7;6709;5;1341.8;
15387;Martin;Regborn;SWE;8;6703;5;1340.6;
11757;Eskil;Kinneberg;NOR;9;6676;5;1335.2;
9910;Ruslan;Glibov;UKR;10;6672;5;1334.4;
10849;Daniel;Hubmann;SUI;11;6671;5;1334.2;
28597;Tomas;Krivda;CZE;12;6652;5;1330.4;
23784;Jannis;Bonek;AUT;13;6651;5;1330.2;
11767;Miika;Kirmula;FIN;14;6646;5;1329.2;
20161;Anton;Johansson;SWE;15;6640;5;1328.0;
7403;Lucas;Basset;FRA;16;6609;5;1321.8;
22867;Simon;Imark;SWE;17;6591;5;1318.2;
27350;Lukas;Liland;NOR;18;6590;5;1318.0;
7466;Max Peter;Bejmer;SWE;19;6579;5;1315.8;
33940;Viktor;Svensk;SWE;20;6574;5;1314.8;
10810;Florian;Howald;SUI;21;6573;5;1314.6;
25180;Isac;von Krusenstierna;SWE;22;6557;5;1311.4;
33052;Havard Sandstad;Eidsmo;NOR;23;6550;5;1310.0;
24296;Topi;Syrjalainen;FIN;24;6549;5;1309.8;
32770;Eirik Langedal;Breivik;NOR;25;6544;5;1308.8;
8188;Loic;Capbern;FRA;25;6544;5;1308.8;
22868;Mathieu;Perrin;FRA;27;6536;5;1307.2;
10851;Martin;Hubmann;SUI;28;6533;5;1306.6;
16697;Gaute;Steiwer;NOR;29;6532;5;1306.4;
22101;Elias;Kuukka;FIN;30;6525;5;1305.0;
14322;Milos;Nykodym;CZE;31;6524;5;1304.8;
11671;Gernot;Ymsen;AUT;32;6518;5;1303.6;
16283;Timo;Sild;EST;33;6501;5;1300.2;
16281;Lauri;Sild;EST;34;6500;5;1300.0;
8654;Magne;Daehli;NOR;35;6493;5;1298.6;
14406;Michal;Olejnik;POL;36;6484;5;1296.8;
23864;Elias;Jonsson;NOR;37;6479;5;1295.8;
37666;Axel;Elmblad;SWE;37;6479;5;1295.8;
7741;Bojan;Blumenstein;GER;39;6478;5;1295.6;
16782;Ralph;Street;GBR;40;6475;5;1295.0;
18651;Soren Thrane;Odum;DEN;41;6473;5;1294.6;
32449;Fabian;Aebersold;SUI;42;6456;5;1291.2;
32613;Quentin;Moulet;FRA;42;6456;5;1291.2;
18506;Rudolfs;Zernis;LAT;44;6449;5;1289.8;
24285;Aaro;Aho;FIN;45;6448;5;1289.6;
12187;Vojtech;Kral;CZE;46;6441;5;1288.2;
